Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,SEO Title,SEO Description,Status
breeze,BREEZE,"<p>По-лека за носене. По-нисък диапазон на кикъра.</p><p>BREEZE е моделът, който взимаш със себе си без да мислиш: 7.5 kg, 130 cm дължина и кикър от 29 до 38 cm в четири фиксирани позиции. Сгъва се за около 30 секунди в заключен пакет, който носиш на гръб с включените презрамки. Дървена конструкция с антиплъзгащо покритие, сменяеми гумени крачета и еластична система, която обира вибрациите при скок. Произведена в България, тествана от нас.</p>",2getherbikes,Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories,Portable Ramp,"ramp, portable-ramps, Произведено в България, 4 позиции, 2 години гаранция, 150 kg, color:#C8434F, colorname:Червен, length:130, width:58, weight:7.5 kg, heights:29,32,35,38, other:storm, blurb:По-лека за местене между спотовете и с четири настройки на кикъра от 29 до 38 cm.",TRUE,Title,Default Title,BREEZE,,shopify,0,continue,manual,260.00,TRUE,TRUE,BREEZE — преносима рампа 7.5 kg · 4 позиции | 2getherbikes,"Преносима рампа BREEZE: 7.5 kg, кикър 29–38 cm в 4 позиции, сгъва се за 30 секунди и се носи на гръб. Произведена в България. €260 с ДДС.",active
storm,STORM,"<p>По-висок кикър и по-агресивен ъгъл на изстрелване.</p><p>STORM е за момента, в който искаш повече въздух: 170 cm дължина, кикър от 53 до 62 cm в четири фиксирани позиции и по-стръмна траектория при същото общо натоварване от 150 kg. 12.5 kg, сгъва се за около 30 секунди в заключен пакет с включени презрамки. Дървена конструкция с антиплъзгащо покритие, сменяеми гумени крачета и еластична система срещу вибрации. Произведена в България, тествана от нас.</p>",2getherbikes,Sporting Goods > Outdoor Recreation > Cycling > Bicycle Accessories,Portable Ramp,"ramp, portable-ramps, Произведено в България, 4 позиции, 2 години гаранция, 150 kg, color:#2F6FD6, colorname:Син, length:170, width:58, weight:12.5 kg, heights:53,57,60,62, other:breeze, blurb:По-висок кикър и четири настройки от 53 до 62 cm — когато търсиш по-агресивна траектория.",TRUE,Title,Default Title,STORM,,shopify,0,continue,manual,385.00,TRUE,TRUE,STORM — преносима рампа с висок кикър 53–62 cm | 2getherbikes,"Преносима рампа STORM: 170 cm, кикър 53–62 cm в 4 позиции, 12.5 kg, сгъва се за 30 секунди. Произведена в България. €385 с ДДС.",active
